#{"t_start": 1652661317.3871212, "env_id": "NovelGridworld-v0"}
r,l,t
278,10,34.642883
281,9,34.660884
222,9,34.679884
275,11,34.704884
284,8,34.718884
273,14,34.749884
288,19,34.787884
278,10,34.806885
281,9,34.827884
281,9,34.842884
281,9,34.861885
390,20,34.901885
278,10,34.933884
387,21,34.974884
390,20,35.016884
284,8,35.035885
219,10,35.056884
256,16,35.090883
222,9,35.109884
390,20,35.148883
228,11,35.171883
278,10,35.191885
222,9,35.209884
281,9,35.227885
272,12,35.250883
384,22,35.299885
278,10,35.321885
284,8,35.336884
219,10,35.355885
281,9,35.373884
278,10,35.393883
222,9,35.416883
281,9,35.437887
216,11,35.461884
278,10,35.483885
281,9,35.506885
278,10,35.526883
219,10,35.546884
222,9,35.562884
281,9,35.584885
278,10,35.604883
219,10,35.623886
222,9,35.640884
222,9,35.659884
219,10,35.681885
281,9,35.700884
278,10,35.719884
281,9,35.735885
281,9,35.757884
193,17,35.792883
303,15,35.821885
267,13,35.847884
278,10,35.867883
219,10,35.887884
281,9,35.905883
281,9,35.928883
275,11,35.948885
222,9,35.968476
387,21,36.008477
219,10,36.031477
281,9,36.050478
207,13,36.075476
219,10,36.098477
281,9,36.117477
300,16,36.149477
281,9,36.167478
262,14,36.198477
275,11,36.221477
278,10,36.242478
219,10,36.265478
222,9,36.284477
219,10,36.304477
284,8,36.322477
300,16,36.355477
284,8,36.369476
281,9,36.387477
275,11,36.410476
281,9,36.430478
281,9,36.449477
281,9,36.467478
311,16,36.498477
281,9,36.520477
219,10,36.539476
278,10,36.559477
384,22,36.604477
275,11,36.628112
219,10,36.648111
222,9,36.667111
281,9,36.689111
272,12,36.71211
331,24,36.761691
281,9,36.780691
278,10,36.800691
390,20,36.838691
281,9,36.861691
275,11,36.884691
278,10,36.903691
278,10,36.92569
281,9,36.944691
222,9,36.962691
219,10,36.981691
275,11,37.018691
275,11,37.03969
281,9,37.05969
281,9,37.078691
222,9,37.093691
387,21,37.140691
278,10,37.159691
278,10,37.17969
219,10,37.202691
308,19,37.23669
281,9,37.255692
278,10,37.27869
303,15,37.30869
278,10,37.331692
281,9,37.350691
216,11,37.371691
281,9,37.389692
199,15,37.42169
390,20,37.459692
219,10,37.478691
281,9,37.496691
222,9,37.517691
281,9,37.53269
222,9,37.55069
278,10,37.57069
278,10,37.593689
390,20,37.632691
281,9,37.65169
278,10,37.671691
284,8,37.691691
281,9,37.707691
281,9,37.724691
390,20,37.765261
222,9,37.784259
281,9,37.80326
222,9,37.82126
281,9,37.837258
272,12,37.865259
275,11,37.88626
275,11,37.90626
222,9,37.92826
222,9,37.94726
216,11,37.96826
281,9,37.986259
281,9,38.00426
281,9,38.01926
278,10,38.04226
284,8,38.059259
281,9,38.07826
216,11,38.10226
281,9,38.12226
278,10,38.143259
278,10,38.163259
219,10,38.18726
281,9,38.20626
278,10,38.22626
278,10,38.24626
275,11,38.26826
284,8,38.28626
278,10,38.305259
278,10,38.32626
284,8,38.347261
387,21,38.387261
284,8,38.40526
219,10,38.42726
284,8,38.44126
278,10,38.46026
278,10,38.479259
281,9,38.497261
390,20,38.53926
390,20,38.57826
222,9,38.600259
219,10,38.620261
281,9,38.63926
219,10,38.65926
387,21,38.702259
278,10,38.722261
219,9,38.741259
390,20,38.78126
222,9,38.800259
300,16,38.83026
281,9,38.84926
284,8,38.866259
275,11,38.88726
281,9,38.905259
275,11,38.92826
387,21,38.974261
230,9,38.99026
222,9,39.008259
275,11,39.03326
390,20,39.085258
284,8,39.103261
284,8,39.12426
207,13,39.14726
278,10,39.16726
281,9,39.18726
222,9,39.20826
278,10,39.22926
219,10,39.248259
301,18,39.28426
216,11,39.30926
387,21,39.353259
281,9,39.372261
219,10,39.391259
281,9,39.40726
281,9,39.42626
272,12,39.45426
222,9,39.469259
272,12,39.49426
219,10,39.51426
390,20,39.55526
284,8,39.569261
281,9,39.58826
387,21,39.63026
275,11,39.65426
216,10,39.67326
390,20,39.71426
387,21,39.75426
281,9,39.77226
219,10,39.79326
278,10,39.81226
269,13,39.83526
241,16,39.86726
387,21,39.912261
219,10,39.93226
222,9,39.95126
219,9,39.97026
387,21,40.010261
222,9,40.03026
278,10,40.05326
219,10,40.07226
278,10,40.09226
222,9,40.11126
278,10,40.13426
207,13,40.15926
216,10,40.17926
219,10,40.198261
266,12,40.224261
-588,241,40.69726
278,10,40.71826
281,9,40.73726
222,9,40.75626
222,9,40.77726
281,9,40.793259
284,8,40.811258
222,9,40.83026
222,9,40.84826
387,21,40.894263
284,8,40.910259
278,10,40.93226
219,10,40.95726
300,16,40.993835
222,9,41.007836
281,9,41.026834
281,9,41.047835
278,10,41.066836
284,8,41.083835
278,10,41.102836
281,9,41.131836
387,21,41.175836
390,20,41.216835
281,9,41.233835
278,10,41.255839
278,10,41.280837
222,9,41.300836
281,9,41.319835
281,9,41.342836
278,10,41.365835
278,10,41.383836
219,10,41.402836
275,11,41.422835
390,20,41.463837
278,10,41.483835
219,10,41.502836
275,11,41.523834
222,9,41.545835
387,21,41.585835
387,21,41.631835
387,21,41.678836
387,21,41.744836
278,10,41.771837
222,9,41.795836
387,21,41.835836
222,9,41.855836
248,18,41.889835
219,10,41.906835
219,10,41.925836
275,11,41.944836
281,9,41.964836
275,11,41.984835
278,10,42.004835
219,10,42.023836
281,9,42.045836
278,10,42.065834
219,10,42.084836
300,16,42.114836
281,9,42.136836
281,9,42.155836
360,16,42.189836
284,8,42.208836
278,10,42.231835
284,8,42.247836
281,9,42.267836
281,9,42.286912
281,9,42.308422
275,11,42.329422
216,11,42.350422
284,8,42.373423
284,8,42.386421
219,10,42.406422
278,10,42.425422
278,10,42.444423
219,10,42.466423
275,11,42.489422
281,9,42.503422
390,20,42.544421
284,8,42.56142
281,9,42.579422
278,10,42.599422
281,9,42.620422
278,10,42.642422
219,10,42.663422
281,9,42.679422
281,9,42.697423
387,21,42.741422
206,14,42.769533
387,21,42.813533
281,9,42.831533
278,10,42.851532
284,8,42.869533
281,9,42.890533
222,9,42.905533
296,18,42.941533
390,20,42.983531
275,11,43.004531
278,10,43.023532
278,10,43.043533
275,11,43.068532
