#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
12,39,13.958365
40,11,13.96865
41,10,13.982761
43,8,13.99128
50,1,13.992799
47,4,13.996437
44,7,14.002758
41,10,14.013808
46,5,14.020527
41,10,14.033323
41,10,14.045848
46,5,14.053506
47,4,14.057602
38,13,14.068575
38,13,14.082608
41,10,14.095876
44,7,14.122874
46,5,14.129027
47,4,14.13438
41,10,14.145574
41,10,14.156199
43,8,14.164021
50,1,14.165826
44,7,14.174067
48,3,14.178094
44,7,14.186677
48,3,14.19066
46,5,14.197284
46,5,14.204601
43,8,14.216093
44,7,14.222975
41,10,14.235083
29,22,14.255967
34,17,14.291245
30,21,14.316458
49,2,14.319286
46,5,14.323931
37,14,14.337254
49,2,14.339801
47,4,14.344012
38,13,14.362325
31,20,14.381617
44,7,14.390079
44,7,14.397735
31,20,14.420599
44,7,14.450271
36,15,14.462508
18,33,14.497396
49,2,14.500051
31,20,14.52127
39,12,14.53605
50,1,14.538194
42,9,14.551451
45,6,14.559422
47,4,14.565086
45,6,14.572114
22,29,14.620971
41,10,14.632054
44,7,14.640998
40,11,14.6552
40,11,14.666954
47,4,14.671862
45,6,14.679567
48,3,14.683354
45,6,14.690798
33,18,14.714383
44,7,14.72477
47,4,14.728307
47,4,14.731897
44,7,14.748003
37,14,14.7623
47,4,14.767542
39,12,14.799019
42,9,14.808974
43,8,14.819218
47,4,14.824049
50,1,14.825968
15,36,14.864869
44,7,14.871655
44,7,14.883462
47,4,14.888812
50,1,14.890998
19,32,14.919905
48,3,14.923353
47,4,14.927878
48,3,14.952958
50,1,14.954636
36,15,14.967239
35,16,14.983255
47,4,14.98859
47,4,14.993461
48,3,14.997393
43,8,15.012601
45,6,15.018214
47,4,15.022159
44,7,15.03063
50,1,15.032641
38,13,15.050756
45,6,15.056978
46,5,15.061645
48,3,15.064528
48,3,15.067247
49,2,15.069239
48,3,15.071976
45,6,15.077542
48,3,15.081303
47,4,15.086414
38,13,15.120953
40,11,15.132613
45,6,15.1449
49,2,15.147803
37,14,15.16122
45,6,15.167695
44,7,15.176492
47,4,15.182146
45,6,15.189851
48,3,15.194474
45,6,15.203121
50,1,15.204483
43,8,15.211781
47,4,15.216864
43,8,15.226463
50,1,15.228226
39,12,15.241648
44,7,15.250704
20,31,15.310758
45,6,15.317626
42,9,15.328888
47,4,15.334759
45,6,15.343578
42,9,15.356164
44,7,15.363968
45,6,15.370523
28,23,15.399148
46,5,15.405751
44,7,15.415312
36,15,15.428111
44,7,15.43644
46,5,15.442729
44,7,15.470409
48,3,15.473892
44,7,15.480598
41,10,15.49049
47,4,15.495287
45,6,15.502572
41,10,15.514243
44,7,15.523427
43,8,15.535304
44,7,15.546338
49,2,15.560091
37,14,15.575017
50,1,15.577184
43,8,15.587192
44,7,15.595919
42,9,15.608024
45,6,15.614524
33,18,15.637053
46,5,15.661872
49,2,15.663966
47,4,15.668177
47,4,15.672505
43,8,15.681884
48,3,15.68621
48,3,15.689539
49,2,15.69162
50,1,15.693041
38,13,15.715043
44,7,15.722102
38,13,15.734637
48,3,15.738336
48,3,15.742244
44,7,15.753174
50,1,15.755355
47,4,15.759026
48,3,15.761882
41,10,15.770792
47,4,15.775288
44,7,15.783547
46,5,15.790292
41,10,15.803501
10,41,15.874164
33,18,15.898139
46,5,15.905935
41,10,15.916792
42,9,15.926586
45,6,15.932788
45,6,15.939978
48,3,15.944595
47,4,15.950133
44,7,15.959204
43,8,15.971159
44,7,15.979728
45,6,15.987816
38,13,16.018912
42,9,16.026692
47,4,16.030476
50,1,16.031753
46,5,16.035905
34,17,16.055121
46,5,16.061716
38,13,16.077926
46,5,16.084515
48,3,16.0885
47,4,16.093997
49,2,16.097643
49,2,16.100898
49,2,16.108276
34,17,16.127793
42,9,16.139627
43,8,16.150039
40,11,16.161277
32,19,16.202526
50,1,16.204519
43,8,16.21279
41,10,16.221446
46,5,16.227589
43,8,16.237022
43,8,16.251291
41,10,16.262243
33,18,16.279972
49,2,16.283105
46,5,16.29041
44,7,16.297188
43,8,16.304955
43,8,16.314808
49,2,16.317825
38,13,16.35597
43,8,16.363254
50,1,16.364777
46,5,16.370442
46,5,16.375948
49,2,16.378659
47,4,16.387974
45,6,16.394057
41,10,16.405165
46,5,16.411946
47,4,16.417939
38,13,16.433045
41,10,16.4463
48,3,16.451085
48,3,16.455825
36,15,16.471546
50,1,16.473368
46,5,16.479889
46,5,16.486838
39,12,16.499965
35,16,16.535756
43,8,16.543827
46,5,16.550063
42,9,16.561466
37,14,16.575812
40,11,16.589845
45,6,16.597351
47,4,16.601538
48,3,16.604816
46,5,16.610301
47,4,16.615608
45,6,16.623228
44,7,16.631252
50,1,16.63307
43,8,16.648716
50,1,16.650494
45,6,16.656518
46,5,16.662228
44,7,16.669783
45,6,16.67734
48,3,16.681782
45,6,16.711651
49,2,16.714428
48,3,16.718106
48,3,16.721744
47,4,16.726951
49,2,16.730096
45,6,16.736554
47,4,16.740894
49,2,16.743612
48,3,16.747849
37,14,16.76185
49,2,16.764012
49,2,16.766008
45,6,16.7723
50,1,16.773896
46,5,16.779337
49,2,16.782335
50,1,16.784241
41,10,16.806459
47,4,16.810072
46,5,16.814921
46,5,16.820715
39,12,16.834492
30,21,16.859704
33,18,16.896892
42,9,16.905751
48,3,16.909478
49,2,16.912263
40,11,16.924519
41,10,16.938097
48,3,16.94153
47,4,16.945943
46,5,16.95216
50,1,16.954011
47,4,16.958743
46,5,16.964424
47,4,16.969191
39,12,16.982206
43,8,16.990256
45,6,16.996472
48,3,17.000664
47,4,17.00585
45,6,17.013437
46,5,17.020016
42,9,17.031671
42,9,17.063881
47,4,17.067783
